fecha,cp,minsplit,minbucket,maxdepth,ganancia
20210831 023851,-1,100,2,7,3812500
20210831 024012,-1,100,3,7,3527500
20210831 024134,-1,100,4,7,3688750
20210831 024257,-1,100,5,7,3128750
20210831 024419,-1,100,10,7,3522500
20210831 024542,-1,100,20,7,4101250
20210831 024713,-1,2,1,8,3791250
20210831 024850,-1,2,2,8,3602500
20210831 025020,-1,2,3,8,3497500
20210831 025152,-1,2,4,8,3583750
20210831 025325,-1,2,5,8,3143750
20210831 025455,-1,2,0,8,3791250
20210831 025625,-1,4,1,8,3823750
20210831 025757,-1,4,2,8,3602500
20210831 025927,-1,4,3,8,3497500
20210831 030058,-1,4,4,8,3583750
20210831 030235,-1,4,5,8,3143750
20210831 030406,-1,4,0,8,3823750
20210831 030536,-1,8,1,8,3818750
20210831 030706,-1,8,2,8,3583750
20210831 030836,-1,8,3,8,3480000
20210831 031007,-1,8,4,8,3583750
20210831 031138,-1,8,5,8,3143750
20210831 031312,-1,8,0,8,3818750
20210831 031442,-1,10,1,8,3891250
20210831 031614,-1,10,2,8,3607500
20210831 031744,-1,10,3,8,3503750
20210831 031916,-1,10,4,8,3606250
20210831 032047,-1,10,5,8,3143750
20210831 032220,-1,15,1,8,3920000
20210831 032349,-1,15,2,8,3626250
20210831 032520,-1,15,3,8,3522500
20210831 032651,-1,15,4,8,3587500
20210831 032822,-1,15,5,8,3215000
20210831 032952,-1,20,1,8,3945000
20210831 033122,-1,20,2,8,3651250
20210831 033258,-1,20,3,8,3538750
20210831 033429,-1,20,4,8,3597500
20210831 033600,-1,20,5,8,3207500
20210831 033730,-1,30,1,8,3990000
20210831 033900,-1,30,2,8,3788750
20210831 034031,-1,30,3,8,3576250
20210831 034204,-1,30,4,8,3622500
20210831 034335,-1,30,5,8,3266250
20210831 034508,-1,30,6,8,3038750
20210831 034639,-1,50,1,8,3935000
20210831 034809,-1,50,2,8,3738750
20210831 034941,-1,50,3,8,3512500
20210831 035111,-1,50,4,8,3590000
20210831 035244,-1,50,5,8,3288750
20210831 035415,-1,50,10,8,4058750
20210831 035545,-1,100,1,8,3860000
20210831 035715,-1,100,2,8,3636250
20210831 035846,-1,100,3,8,3321250
20210831 040016,-1,100,4,8,3507500
20210831 040148,-1,100,5,8,3123750
20210831 040325,-1,100,10,8,4057500
20210831 040457,-1,100,20,8,4115000
20210831 040647,-1,2,1,10,3183750
20210831 040837,-1,2,2,10,3737500
20210831 041027,-1,2,3,10,3482500
20210831 041221,-1,2,4,10,3335000
20210831 041412,-1,2,5,10,3233750
20210831 041605,-1,2,0,10,3183750
20210831 041756,-1,4,1,10,3202500
20210831 041946,-1,4,2,10,3737500
20210831 042136,-1,4,3,10,3482500
20210831 042329,-1,4,4,10,3335000
20210831 042522,-1,4,5,10,3233750
20210831 042712,-1,4,0,10,3202500
20210831 042900,-1,8,1,10,3228750
20210831 043050,-1,8,2,10,3767500
20210831 043245,-1,8,3,10,3500000
20210831 043436,-1,8,4,10,3335000
20210831 043626,-1,8,5,10,3233750
20210831 043815,-1,8,0,10,3228750
20210831 044004,-1,10,1,10,3291250
20210831 044155,-1,10,2,10,3826250
20210831 044343,-1,10,3,10,3547500
20210831 044533,-1,10,4,10,3420000
20210831 044721,-1,10,5,10,3233750
20210831 044911,-1,15,1,10,3342500
20210831 045100,-1,15,2,10,3918750
20210831 045250,-1,15,3,10,3620000
20210831 045438,-1,15,4,10,3485000
20210831 045629,-1,15,5,10,3368750
20210831 045817,-1,20,1,10,3385000
20210831 050006,-1,20,2,10,3951250
20210831 050158,-1,20,3,10,3738750
20210831 050353,-1,20,4,10,3547500
20210831 050543,-1,20,5,10,3413750
20210831 050733,-1,30,1,10,3507500
20210831 050920,-1,30,2,10,4036250
20210831 051110,-1,30,3,10,3762500
20210831 051308,-1,30,4,10,3510000
20210831 051458,-1,30,5,10,3398750
20210831 051653,-1,30,6,10,3395000
20210831 051844,-1,50,1,10,3507500
20210831 052035,-1,50,2,10,3977500
20210831 052228,-1,50,3,10,3713750
20210831 052419,-1,50,4,10,3527500
20210831 052610,-1,50,5,10,3450000
20210831 052800,-1,50,10,10,3011250
20210831 052951,-1,100,1,10,3371250
20210831 053140,-1,100,2,10,3837500
20210831 053336,-1,100,3,10,3625000
20210831 053528,-1,100,4,10,3595000
20210831 053718,-1,100,5,10,3485000
20210831 053907,-1,100,10,10,3320000
20210831 054058,-1,100,20,10,2858750
20210831 054310,-1,2,1,12,2617500
20210831 054519,-1,2,2,12,3772500
20210831 054729,-1,2,3,12,3155000
20210831 054941,-1,2,4,12,3288750
20210831 055153,-1,2,5,12,3061250
20210831 055402,-1,2,0,12,2617500
20210831 055612,-1,4,1,12,2668750
20210831 055822,-1,4,2,12,3772500
20210831 060031,-1,4,3,12,3155000
20210831 060247,-1,4,4,12,3288750
20210831 060458,-1,4,5,12,3061250
20210831 060708,-1,4,0,12,2668750
20210831 060918,-1,8,1,12,2660000
20210831 061127,-1,8,2,12,3861250
20210831 061339,-1,8,3,12,3146250
20210831 061550,-1,8,4,12,3288750
20210831 061800,-1,8,5,12,3061250
20210831 062011,-1,8,0,12,2660000
20210831 062222,-1,10,1,12,2716250
20210831 062430,-1,10,2,12,3895000
20210831 062639,-1,10,3,12,3253750
20210831 062848,-1,10,4,12,3395000
20210831 063058,-1,10,5,12,3061250
20210831 063313,-1,15,1,12,2751250
20210831 063523,-1,15,2,12,3971250
20210831 063732,-1,15,3,12,3310000
20210831 063940,-1,15,4,12,3388750
20210831 064151,-1,15,5,12,3131250
20210831 064401,-1,20,1,12,2875000
20210831 064611,-1,20,2,12,4073750
20210831 064821,-1,20,3,12,3498750
20210831 065035,-1,20,4,12,3452500
20210831 065256,-1,20,5,12,3177500
20210831 065509,-1,30,1,12,3097500
20210831 065720,-1,30,2,12,4302500
20210831 065932,-1,30,3,12,3620000
20210831 070143,-1,30,4,12,3420000
20210831 070400,-1,30,5,12,3215000
20210831 070615,-1,30,6,12,3581250
20210831 070827,-1,50,1,12,3101250
20210831 071039,-1,50,2,12,4308750
20210831 071253,-1,50,3,12,3610000
20210831 071503,-1,50,4,12,3351250
20210831 071715,-1,50,5,12,3165000
20210831 071926,-1,50,10,12,2106250
20210831 072138,-1,100,1,12,2971250
20210831 072351,-1,100,2,12,4152500
20210831 072603,-1,100,3,12,3642500
20210831 072813,-1,100,4,12,3465000
20210831 073026,-1,100,5,12,3193750
20210831 073243,-1,100,10,12,2330000
20210831 073455,-1,100,20,12,1717500
20210831 073728,-1,2,1,14,3195000
20210831 074000,-1,2,2,14,3701250
20210831 074235,-1,2,3,14,3218750
20210831 074509,-1,2,4,14,3230000
20210831 074742,-1,2,5,14,3102500
20210831 075015,-1,2,0,14,3195000
20210831 075248,-1,4,1,14,3281250
20210831 075522,-1,4,2,14,3701250
20210831 075754,-1,4,3,14,3218750
20210831 080025,-1,4,4,14,3230000
20210831 080305,-1,4,5,14,3102500
20210831 080539,-1,4,0,14,3281250
20210831 080811,-1,8,1,14,3238750
20210831 081043,-1,8,2,14,3758750
20210831 081317,-1,8,3,14,3238750
20210831 081550,-1,8,4,14,3230000
20210831 081823,-1,8,5,14,3102500
20210831 082055,-1,8,0,14,3238750
20210831 082329,-1,10,1,14,3271250
20210831 082602,-1,10,2,14,3771250
20210831 082833,-1,10,3,14,3316250
20210831 083105,-1,10,4,14,3358750
20210831 083343,-1,10,5,14,3102500
20210831 083615,-1,15,1,14,3257500
20210831 083845,-1,15,2,14,3793750
20210831 084116,-1,15,3,14,3362500
20210831 084351,-1,15,4,14,3323750
20210831 084625,-1,15,5,14,3100000
20210831 084856,-1,20,1,14,3348750
20210831 085130,-1,20,2,14,3861250
20210831 085404,-1,20,3,14,3606250
20210831 085637,-1,20,4,14,3395000
20210831 085914,-1,20,5,14,3128750
20210831 090143,-1,30,1,14,3551250
20210831 090422,-1,30,2,14,3993750
20210831 090655,-1,30,3,14,3670000
20210831 090926,-1,30,4,14,3307500
20210831 091201,-1,30,5,14,3160000
20210831 091432,-1,30,6,14,2707500
20210831 091704,-1,50,1,14,3537500
20210831 091934,-1,50,2,14,4021250
20210831 092208,-1,50,3,14,3693750
20210831 092438,-1,50,4,14,3305000
20210831 092710,-1,50,5,14,3022500
20210831 092939,-1,50,10,14,1202500
20210831 093216,-1,100,1,14,3323750
20210831 093448,-1,100,2,14,3717500
20210831 093720,-1,100,3,14,3658750
20210831 093949,-1,100,4,14,3340000
20210831 094221,-1,100,5,14,2943750
20210831 094450,-1,100,10,14,1450000
20210831 094721,-1,100,20,14,1185000
20210831 095011,-1,2,1,16,3218750
20210831 095308,-1,2,2,16,3245000
20210831 095600,-1,2,3,16,2935000
20210831 095853,-1,2,4,16,2748750
20210831 100145,-1,2,5,16,2541250
20210831 100442,-1,2,0,16,3218750
20210831 100736,-1,4,1,16,3278750
20210831 101028,-1,4,2,16,3245000
20210831 101320,-1,4,3,16,2935000
20210831 101611,-1,4,4,16,2748750
20210831 101902,-1,4,5,16,2541250
20210831 102157,-1,4,0,16,3278750
20210831 102448,-1,8,1,16,3188750
20210831 102738,-1,8,2,16,3247500
20210831 103031,-1,8,3,16,2928750
20210831 103327,-1,8,4,16,2748750
20210831 103618,-1,8,5,16,2541250
20210831 103909,-1,8,0,16,3188750
20210831 104202,-1,10,1,16,3218750
20210831 104453,-1,10,2,16,3245000
20210831 104740,-1,10,3,16,2977500
20210831 105034,-1,10,4,16,2845000
20210831 105329,-1,10,5,16,2541250
20210831 105621,-1,15,1,16,3155000
20210831 105912,-1,15,2,16,3250000
20210831 110208,-1,15,3,16,2961250
20210831 110501,-1,15,4,16,2741250
20210831 110754,-1,15,5,16,2447500
20210831 111046,-1,20,1,16,3212500
20210831 111339,-1,20,2,16,3337500
20210831 111631,-1,20,3,16,3201250
20210831 111921,-1,20,4,16,2808750
20210831 112215,-1,20,5,16,2437500
20210831 112507,-1,30,1,16,3308750
20210831 112757,-1,30,2,16,3376250
20210831 113049,-1,30,3,16,3191250
20210831 113346,-1,30,4,16,2691250
20210831 113639,-1,30,5,16,2426250
20210831 113929,-1,30,6,16,1636250
20210831 114221,-1,50,1,16,3251250
20210831 114513,-1,50,2,16,3317500
20210831 114801,-1,50,3,16,3150000
20210831 115052,-1,50,4,16,2563750
20210831 115347,-1,50,5,16,2148750
20210831 115636,-1,50,10,16,625000
20210831 115927,-1,100,1,16,2985000
20210831 120224,-1,100,2,16,3118750
20210831 120514,-1,100,3,16,3097500
20210831 120804,-1,100,4,16,2680000
20210831 121055,-1,100,5,16,2151250
20210831 121344,-1,100,10,16,736250
20210831 121629,-1,100,20,16,411250
20210831 121723,0,2,1,4,1897500
20210831 121816,0,2,2,4,1897500
20210831 121909,0,2,3,4,1897500
20210831 122002,0,2,4,4,1893750
20210831 122056,0,2,5,4,1700000
20210831 122150,0,2,0,4,1897500
20210831 122245,0,4,1,4,1897500
20210831 122338,0,4,2,4,1897500
20210831 122431,0,4,3,4,1897500
20210831 122524,0,4,4,4,1893750
20210831 122617,0,4,5,4,1700000
20210831 122710,0,4,0,4,1897500
20210831 122802,0,8,1,4,1897500
20210831 122854,0,8,2,4,1897500
20210831 122947,0,8,3,4,1897500
20210831 123040,0,8,4,4,1893750
20210831 123134,0,8,5,4,1700000
20210831 123233,0,8,0,4,1897500
20210831 123327,0,10,1,4,1897500
20210831 123420,0,10,2,4,1897500
20210831 123513,0,10,3,4,1897500
20210831 123606,0,10,4,4,1893750
20210831 123702,0,10,5,4,1700000
20210831 123755,0,15,1,4,1897500
20210831 123848,0,15,2,4,1897500
20210831 123941,0,15,3,4,1897500
20210831 124034,0,15,4,4,1893750
20210831 124128,0,15,5,4,1700000
20210831 124224,0,20,1,4,1897500
20210831 124317,0,20,2,4,1897500
20210831 124410,0,20,3,4,1897500
20210831 124503,0,20,4,4,1893750
20210831 124556,0,20,5,4,1700000
20210831 124650,0,30,1,4,1897500
20210831 124743,0,30,2,4,1897500
20210831 124836,0,30,3,4,1897500
20210831 124930,0,30,4,4,1893750
20210831 125023,0,30,5,4,1700000
20210831 125117,0,30,6,4,1700000
20210831 125214,0,50,1,4,1897500
20210831 125307,0,50,2,4,1897500
20210831 125400,0,50,3,4,1897500
20210831 125453,0,50,4,4,1893750
20210831 125547,0,50,5,4,1700000
20210831 125640,0,50,10,4,1700000
20210831 125732,0,100,1,4,1897500
20210831 125824,0,100,2,4,1897500
20210831 125917,0,100,3,4,1897500
20210831 130010,0,100,4,4,1893750
20210831 130104,0,100,5,4,1700000
20210831 130200,0,100,10,4,1700000
20210831 130256,0,100,20,4,0
20210831 130359,0,2,1,5,2896250
20210831 130501,0,2,2,5,2162500
20210831 130603,0,2,3,5,2361250
20210831 130707,0,2,4,5,2163750
20210831 130810,0,2,5,5,2406250
20210831 130912,0,2,0,5,2896250
20210831 131013,0,4,1,5,2896250
20210831 131115,0,4,2,5,2162500
20210831 131220,0,4,3,5,2361250
20210831 131322,0,4,4,5,2163750
20210831 131425,0,4,5,5,2406250
20210831 131528,0,4,0,5,2896250
20210831 131631,0,8,1,5,2895000
20210831 131733,0,8,2,5,2162500
20210831 131835,0,8,3,5,2361250
20210831 131937,0,8,4,5,2163750
20210831 132040,0,8,5,5,2406250
20210831 132142,0,8,0,5,2895000
20210831 132247,0,10,1,5,2895000
20210831 132349,0,10,2,5,2162500
20210831 132452,0,10,3,5,2361250
20210831 132555,0,10,4,5,2163750
20210831 132657,0,10,5,5,2406250
20210831 132759,0,15,1,5,2895000
20210831 132901,0,15,2,5,2162500
20210831 133003,0,15,3,5,2361250
20210831 133106,0,15,4,5,2163750
20210831 133214,0,15,5,5,2406250
20210831 133318,0,20,1,5,2895000
20210831 133421,0,20,2,5,2162500
20210831 133523,0,20,3,5,2361250
20210831 133625,0,20,4,5,2163750
20210831 133729,0,20,5,5,2406250
20210831 133831,0,30,1,5,2940000
20210831 133934,0,30,2,5,2207500
20210831 134037,0,30,3,5,2406250
20210831 134139,0,30,4,5,2205000
20210831 134244,0,30,5,5,2401250
20210831 134348,0,30,6,5,2401250
20210831 134450,0,50,1,5,2940000
20210831 134552,0,50,2,5,2207500
20210831 134655,0,50,3,5,2406250
20210831 134758,0,50,4,5,2205000
20210831 134901,0,50,5,5,2401250
20210831 135004,0,50,10,5,2237500
20210831 135106,0,100,1,5,2941250
20210831 135213,0,100,2,5,2237500
20210831 135317,0,100,3,5,2436250
20210831 135421,0,100,4,5,2233750
20210831 135524,0,100,5,5,2233750
20210831 135629,0,100,10,5,2237500
20210831 135732,0,100,20,5,537500
20210831 135845,0,2,1,6,4100000
20210831 135958,0,2,2,6,2923750
20210831 140111,0,2,3,6,2382500
20210831 140232,0,2,4,6,2268750
20210831 140346,0,2,5,6,2358750
20210831 140459,0,2,0,6,4100000
20210831 140614,0,4,1,6,4101250
20210831 140729,0,4,2,6,2923750
20210831 140842,0,4,3,6,2382500
20210831 140955,0,4,4,6,2268750
20210831 141108,0,4,5,6,2358750
20210831 141223,0,4,0,6,4101250
20210831 141335,0,8,1,6,4096250
20210831 141447,0,8,2,6,2475000
20210831 141559,0,8,3,6,2383750
20210831 141712,0,8,4,6,2268750
20210831 141825,0,8,5,6,2358750
20210831 141937,0,8,0,6,4096250
20210831 142050,0,10,1,6,4088750
20210831 142206,0,10,2,6,2467500
20210831 142319,0,10,3,6,2378750
20210831 142432,0,10,4,6,2263750
20210831 142545,0,10,5,6,2358750
20210831 142658,0,15,1,6,4088750
20210831 142811,0,15,2,6,2467500
20210831 142925,0,15,3,6,2383750
20210831 143038,0,15,4,6,2228750
20210831 143154,0,15,5,6,2323750
20210831 143312,0,20,1,6,4085000
20210831 143425,0,20,2,6,2467500
20210831 143538,0,20,3,6,2383750
20210831 143650,0,20,4,6,2228750
20210831 143804,0,20,5,6,2323750
20210831 143915,0,30,1,6,4130000
20210831 144028,0,30,2,6,2512500
20210831 144140,0,30,3,6,2428750
20210831 144255,0,30,4,6,2270000
20210831 144407,0,30,5,6,2325000
20210831 144521,0,30,6,6,2472500
20210831 144634,0,50,1,6,4130000
20210831 144747,0,50,2,6,2512500
20210831 144901,0,50,3,6,2428750
20210831 145014,0,50,4,6,2226250
20210831 145127,0,50,5,6,2281250
20210831 145244,0,50,10,6,2261250
20210831 145357,0,100,1,6,4108750
20210831 145510,0,100,2,6,2518750
20210831 145622,0,100,3,6,2435000
20210831 145735,0,100,4,6,2231250
20210831 145849,0,100,5,6,2287500
20210831 150003,0,100,10,6,2237500
20210831 150116,0,100,20,6,537500
20210831 164939,0,2,1,7,4075000
20210831 165106,0,2,2,7,3633750
20210831 165233,0,2,3,7,3657500
20210831 165404,0,2,4,7,2643750
20210831 165530,0,2,5,7,2258750
20210831 165753,0,2,0,7,4075000
20210831 165925,0,4,1,7,4070000
20210831 170053,0,4,2,7,3633750
20210831 170224,0,4,3,7,3657500
20210831 170413,0,4,4,7,2643750
20210831 170555,0,4,5,7,2258750
20210831 170753,0,4,0,7,4070000
20210831 170930,0,8,1,7,4065000
20210831 171102,0,8,2,7,3792500
20210831 171235,0,8,3,7,3661250
20210831 171428,0,8,4,7,2643750
20210831 171633,0,8,5,7,2258750
20210831 171810,0,8,0,7,4065000
20210831 171943,0,10,1,7,4108750
20210831 172117,0,10,2,7,3785000
20210831 172256,0,10,3,7,3658750
20210831 172429,0,10,4,7,2637500
20210831 172609,0,10,5,7,2258750
20210831 172753,0,15,1,7,4107500
20210831 172932,0,15,2,7,3686250
20210831 173104,0,15,3,7,3565000
20210831 173252,0,15,4,7,2777500
20210831 173455,0,15,5,7,2468750
20210831 173636,0,20,1,7,4145000
20210831 173833,0,20,2,7,3442500
20210831 174032,0,20,3,7,3608750
20210831 174302,0,20,4,7,2821250
20210831 174427,0,20,5,7,2633750
20210831 174551,0,30,1,7,4190000
20210831 174738,0,30,2,7,3487500
20210831 174913,0,30,3,7,3366250
20210831 175046,0,30,4,7,2575000
20210831 175250,0,30,5,7,2347500
20210831 175416,0,30,6,7,2495000
20210831 175543,0,50,1,7,4196250
20210831 175709,0,50,2,7,3485000
20210831 175849,0,50,3,7,3363750
20210831 180028,0,50,4,7,2531250
20210831 180212,0,50,5,7,2303750
20210831 180414,0,50,10,7,2261250
20210831 180538,0,100,1,7,4140000
20210831 180701,0,100,2,7,3497500
20210831 180823,0,100,3,7,3350000
20210831 180946,0,100,4,7,2515000
20210831 181110,0,100,5,7,2287500
20210831 181237,0,100,10,7,2237500
20210831 181402,0,100,20,7,537500
20210831 181534,0,2,1,8,4068750
20210831 181707,0,2,2,8,3900000
20210831 181840,0,2,3,8,4058750
20210831 182012,0,2,4,8,3562500
20210831 182144,0,2,5,8,3493750
20210831 182319,0,2,0,8,4068750
20210831 182451,0,4,1,8,4107500
20210831 182623,0,4,2,8,3900000
20210831 182756,0,4,3,8,4058750
20210831 182929,0,4,4,8,3562500
20210831 183101,0,4,5,8,3493750
20210831 183239,0,4,0,8,4107500
20210831 183413,0,8,1,8,4103750
20210831 183545,0,8,2,8,3912500
20210831 183717,0,8,3,8,3965000
20210831 183848,0,8,4,8,3562500
20210831 184020,0,8,5,8,3493750
20210831 184154,0,8,0,8,4103750
20210831 184327,0,10,1,8,4193750
20210831 184533,0,10,2,8,3951250
20210831 184717,0,10,3,8,4007500
20210831 184852,0,10,4,8,3602500
20210831 185031,0,10,5,8,3493750
20210831 185207,0,15,1,8,4146250
20210831 185340,0,15,2,8,3891250
20210831 185623,0,15,3,8,3725000
20210831 185819,0,15,4,8,3591250
20210831 190018,0,15,5,8,3230000
20210831 190233,0,20,1,8,4185000
20210831 190422,0,20,2,8,3987500
20210831 190558,0,20,3,8,3821250
20210831 190749,0,20,4,8,3687500
20210831 190923,0,20,5,8,3395000
20210831 191111,0,30,1,8,4230000
20210831 191302,0,30,2,8,3997500
20210831 191438,0,30,3,8,3896250
20210831 191618,0,30,4,8,3757500
20210831 191810,0,30,5,8,3310000
20210831 191959,0,30,6,8,3215000
20210831 192222,0,50,1,8,4168750
20210831 192434,0,50,2,8,3947500
20210831 192623,0,50,3,8,3845000
20210831 192805,0,50,4,8,3696250
20210831 193005,0,50,5,8,3250000
20210831 193156,0,50,10,8,2261250
20210831 193338,0,100,1,8,4120000
20210831 193513,0,100,2,8,3638750
20210831 193651,0,100,3,8,3491250
20210831 193842,0,100,4,8,3340000
20210831 194019,0,100,5,8,3112500
20210831 194213,0,100,10,8,2237500
20210831 194345,0,100,20,8,537500
20210831 194542,0,2,1,10,3223750
20210831 194735,0,2,2,10,3747500
20210831 194935,0,2,3,10,3035000
20210831 195133,0,2,4,10,3365000
20210831 195334,0,2,5,10,3360000
20210831 195549,0,2,0,10,3223750
20210831 195754,0,4,1,10,3257500
20210831 195959,0,4,2,10,3747500
20210831 200159,0,4,3,10,3035000
20210831 200400,0,4,4,10,3365000
20210831 200552,0,4,5,10,3360000
20210831 200759,0,4,0,10,3257500
20210831 201007,0,8,1,10,3662500
20210831 201222,0,8,2,10,3813750
20210831 201415,0,8,3,10,3456250
20210831 201703,0,8,4,10,3365000
20210831 201902,0,8,5,10,3360000
20210831 202102,0,8,0,10,3662500
20210831 202308,0,10,1,10,3725000
20210831 202507,0,10,2,10,3710000
20210831 202706,0,10,3,10,3723750
20210831 202900,0,10,4,10,3611250
20210831 203055,0,10,5,10,3360000
20210831 203256,0,15,1,10,3770000
20210831 203451,0,15,2,10,3588750
20210831 203648,0,15,3,10,3608750
20210831 203842,0,15,4,10,3548750
20210831 204036,0,15,5,10,3651250
20210831 204234,0,20,1,10,3832500
20210831 204429,0,20,2,10,3691250
20210831 204625,0,20,3,10,3820000
20210831 204820,0,20,4,10,3902500
20210831 205018,0,20,5,10,3716250
20210831 205217,0,30,1,10,3818750
20210831 205413,0,30,2,10,3810000
20210831 205610,0,30,3,10,3960000
20210831 205808,0,30,4,10,4086250
20210831 210006,0,30,5,10,3646250
20210831 210208,0,30,6,10,3905000
20210831 210412,0,50,1,10,3793750
20210831 210610,0,50,2,10,3815000
20210831 210810,0,50,3,10,3876250
20210831 211003,0,50,4,10,3890000
20210831 211208,0,50,5,10,3617500
20210831 211401,0,50,10,10,2261250
20210831 211555,0,100,1,10,3737500
20210831 211750,0,100,2,10,3390000
20210831 211945,0,100,3,10,3537500
20210831 212140,0,100,4,10,3552500
20210831 212336,0,100,5,10,3108750
20210831 212531,0,100,10,10,2237500
20210831 212726,0,100,20,10,537500
20210831 212941,0,2,1,12,2772500
20210831 213158,0,2,2,12,3305000
20210831 213418,0,2,3,12,3236250
20210831 213632,0,2,4,12,2851250
20210831 213847,0,2,5,12,3135000
20210831 214101,0,2,0,12,2772500
20210831 214319,0,4,1,12,2841250
20210831 214533,0,4,2,12,3305000
20210831 214748,0,4,3,12,3236250
20210831 215002,0,4,4,12,2851250
20210831 215221,0,4,5,12,3135000
20210831 215442,0,4,0,12,2841250
20210831 215700,0,8,1,12,2827500
20210831 215924,0,8,2,12,3210000
20210831 220257,0,8,3,12,2832500
20210831 220534,0,8,4,12,2851250
20210831 220801,0,8,5,12,3135000
20210831 221017,0,8,0,12,2827500
20210831 221235,0,10,1,12,2895000
20210831 221449,0,10,2,12,3088750
20210831 221703,0,10,3,12,2991250
20210831 221918,0,10,4,12,3028750
20210831 222134,0,10,5,12,3135000
20210831 222351,0,15,1,12,2935000
20210831 222605,0,15,2,12,3078750
20210831 222819,0,15,3,12,3213750
20210831 223034,0,15,4,12,3076250
20210831 223255,0,15,5,12,3445000
20210831 223508,0,20,1,12,3105000
20210831 223723,0,20,2,12,3326250
20210831 223936,0,20,3,12,3598750
20210831 224151,0,20,4,12,3541250
20210831 224407,0,20,5,12,3806250
20210831 224621,0,30,1,12,3306250
20210831 224836,0,30,2,12,3552500
20210831 225052,0,30,3,12,3691250
20210831 225308,0,30,4,12,3732500
20210831 225521,0,30,5,12,3702500
20210831 225736,0,30,6,12,4115000
20210831 225950,0,50,1,12,3368750
20210831 230214,0,50,2,12,3333750
20210831 230430,0,50,3,12,3615000
20210831 230646,0,50,4,12,3550000
20210831 230904,0,50,5,12,3512500
20210831 231118,0,50,10,12,2611250
20210831 231335,0,100,1,12,3187500
20210831 231551,0,100,2,12,3267500
20210831 231806,0,100,3,12,3447500
20210831 232019,0,100,4,12,3538750
20210831 232236,0,100,5,12,3095000
20210831 232449,0,100,10,12,2237500
20210831 232701,0,100,20,12,537500
20210831 232936,0,2,1,14,2895000
20210831 233213,0,2,2,14,3878750
20210831 233447,0,2,3,14,3463750
20210831 233720,0,2,4,14,3046250
20210831 233953,0,2,5,14,2958750
20210831 234230,0,2,0,14,2895000
20210831 234506,0,4,1,14,3080000
20210831 234740,0,4,2,14,3878750
20210831 235012,0,4,3,14,3463750
20210831 235249,0,4,4,14,3046250
20210831 235521,0,4,5,14,2958750
20210831 235757,0,4,0,14,3080000
20210901 000032,0,8,1,14,3032500
20210901 000311,0,8,2,14,3108750
20210901 000545,0,8,3,14,3173750
20210901 000819,0,8,4,14,3046250
20210901 001053,0,8,5,14,2958750
20210901 001329,0,8,0,14,3032500
20210901 001602,0,10,1,14,3070000
20210901 001844,0,10,2,14,2966250
20210901 002116,0,10,3,14,3143750
20210901 002352,0,10,4,14,3076250
20210901 002626,0,10,5,14,2958750
20210901 002902,0,15,1,14,3023750
20210901 003137,0,15,2,14,2940000
20210901 003417,0,15,3,14,3197500
20210901 003653,0,15,4,14,3170000
20210901 003927,0,15,5,14,3092500
20210901 004205,0,20,1,14,3170000
20210901 004440,0,20,2,14,3202500
20210901 004715,0,20,3,14,3695000
20210901 004949,0,20,4,14,3650000
20210901 005226,0,20,5,14,3540000
20210901 005501,0,30,1,14,3388750
20210901 005735,0,30,2,14,3318750
20210901 010008,0,30,3,14,3751250
20210901 010249,0,30,4,14,3766250
20210901 010522,0,30,5,14,3903750
20210901 010756,0,30,6,14,4222500
20210901 011031,0,50,1,14,3320000
20210901 011307,0,50,2,14,3315000
20210901 011541,0,50,3,14,3630000
20210901 011815,0,50,4,14,3485000
20210901 012050,0,50,5,14,3440000
20210901 012326,0,50,10,14,3295000
20210901 012600,0,100,1,14,3227500
20210901 012833,0,100,2,14,3255000
20210901 013106,0,100,3,14,3447500
20210901 013346,0,100,4,14,3538750
20210901 013620,0,100,5,14,3095000
20210901 013854,0,100,10,14,2237500
20210901 014125,0,100,20,14,537500
20210901 014424,0,2,1,16,3252500
20210901 014718,0,2,2,16,3921250
20210901 015012,0,2,3,16,3506250
20210901 015308,0,2,4,16,2942500
20210901 015600,0,2,5,16,3390000
20210901 015858,0,2,0,16,3252500
20210901 020154,0,4,1,16,3442500
20210901 020453,0,4,2,16,3921250
20210901 020750,0,4,3,16,3506250
20210901 021043,0,4,4,16,2942500
20210901 021340,0,4,5,16,3390000
20210901 021636,0,4,0,16,3442500
20210901 021931,0,8,1,16,3391250
20210901 022230,0,8,2,16,3682500
20210901 022523,0,8,3,16,3626250
20210901 022816,0,8,4,16,2942500
20210901 023110,0,8,5,16,3390000
20210901 023412,0,8,0,16,3391250
20210901 023708,0,10,1,16,3422500
20210901 024001,0,10,2,16,3676250
20210901 024258,0,10,3,16,3736250
20210901 024551,0,10,4,16,3030000
20210901 024845,0,10,5,16,3390000
20210901 025139,0,15,1,16,3368750
20210901 025434,0,15,2,16,3715000
20210901 025728,0,15,3,16,3927500
20210901 030020,0,15,4,16,3141250
20210901 030320,0,15,5,16,3505000
20210901 030613,0,20,1,16,3503750
20210901 030906,0,20,2,16,3892500
20210901 031202,0,20,3,16,4600000
20210901 031453,0,20,4,16,3775000
20210901 031747,0,20,5,16,4008750
20210901 032040,0,30,1,16,3758750
20210901 081402,0,30,2,16,4020000
20210901 081716,0,30,3,16,4491250
20210901 082025,0,30,4,16,3980000
20210901 082324,0,30,5,16,4297500
20210901 082628,0,30,6,16,4263750
20210901 082935,0,50,1,16,3782500
